Order ID,Order Date,Ship Date,Ship Mode,Segment,Region,State,Category,Sub-Category,Quantity,Discount,Sales,Profit
ORD-100134,2025-06-27,2025-06-27,Same Day,Home Office,East,New York,Office Supplies,Binders,1,0.15,28.84,3.94
ORD-100135,2025-11-26,2025-12-02,Standard Class,Consumer,East,New York,Office Supplies,Storage,8,0.0,427.99,59.87
ORD-100136,2025-07-11,2025-07-19,Standard Class,Consumer,South,Tennessee,Furniture,Furnishings,6,0.3,220.49,-22.08
ORD-100137,2024-03-15,2024-03-21,Standard Class,Home Office,East,Virginia,Office Supplies,Binders,10,0.0,236.05,75.15
ORD-100138,2023-12-26,2024-01-02,Standard Class,Home Office,Central,Texas,Technology,Copiers,6,0.3,6724.33,-813.37
ORD-100139,2024-09-23,2024-10-01,Standard Class,Consumer,East,New Jersey,Office Supplies,Storage,1,0.2,39.86,-2.27
ORD-100140,2025-10-25,2025-11-01,Standard Class,Consumer,Central,Texas,Furniture,Chairs,6,0.4,376.09,-72.47
ORD-100141,2025-01-31,2025-02-02,First Class,Consumer,West,Washington,Furniture,Chairs,6,0.15,711.17,-22.58
ORD-100142,2023-10-31,2023-11-07,Standard Class,Home Office,Central,Michigan,Office Supplies,Fasteners,5,0.4,22.15,-3.29
ORD-100143,2025-04-08,2025-04-16,Standard Class,Consumer,East,New Jersey,Office Supplies,Paper,3,0.15,30.59,5.33
ORD-100144,2024-12-20,2024-12-20,Same Day,Consumer,West,Arizona,Office Supplies,Binders,5,0.1,72.79,14.88
ORD-100145,2025-11-03,2025-11-05,First Class,Corporate,East,Pennsylvania,Furniture,Chairs,5,0.0,620.11,71.8
ORD-100146,2025-03-12,2025-03-19,Standard Class,Corporate,Central,Minnesota,Technology,Machines,7,0.15,2463.3,-293.5
ORD-100147,2024-11-15,2024-11-20,Second Class,Consumer,East,Massachusetts,Office Supplies,Labels,2,0.0,11.96,2.51
ORD-100148,2024-02-01,2024-02-08,Standard Class,Consumer,South,Tennessee,Technology,Machines,3,0.1,1347.01,-36.1
ORD-100149,2024-01-23,2024-01-29,Standard Class,Consumer,Central,Minnesota,Office Supplies,Paper,4,0.0,30.4,8.42
ORD-100150,2025-06-30,2025-07-07,Standard Class,Corporate,West,Oregon,Office Supplies,Storage,9,0.0,658.99,107.55
ORD-100151,2024-07-19,2024-07-26,Standard Class,Consumer,East,Pennsylvania,Office Supplies,Storage,2,0.1,130.59,-2.6
ORD-100152,2025-03-20,2025-03-23,First Class,Home Office,West,Oregon,Office Supplies,Labels,10,0.15,53.95,8.5
ORD-100153,2024-11-28,2024-12-05,Standard Class,Consumer,Central,Illinois,Furniture,Tables,6,0.1,1113.8,-33.02
ORD-100154,2025-08-01,2025-08-03,First Class,Home Office,West,California,Technology,Copiers,4,0.0,3505.54,541.8
ORD-100155,2024-02-20,2024-02-28,Standard Class,Corporate,South,North Carolina,Office Supplies,Storage,1,0.4,43.98,-11.66
ORD-100156,2024-06-03,2024-06-07,First Class,Consumer,Central,Michigan,Technology,Phones,2,0.15,435.96,-14.22
ORD-100157,2024-10-25,2024-11-02,Standard Class,Consumer,West,Washington,Office Supplies,Fasteners,8,0.2,37.48,-0.68
ORD-100158,2023-07-18,2023-07-26,Standard Class,Corporate,West,Nevada,Technology,Phones,6,0.2,1487.58,-66.61
ORD-100159,2024-10-08,2024-10-16,Standard Class,Consumer,Central,Texas,Furniture,Tables,9,0.15,1897.38,-265.41
ORD-100160,2025-05-12,2025-05-18,Second Class,Home Office,East,Massachusetts,Office Supplies,Storage,1,0.1,34.39,1.63
ORD-100161,2025-06-23,2025-06-30,Standard Class,Corporate,East,Pennsylvania,Technology,Machines,3,0.0,1376.53,31.49
ORD-100162,2023-07-09,2023-07-17,Standard Class,Home Office,East,Virginia,Office Supplies,Paper,7,0.2,76.62,11.32
ORD-100163,2025-07-29,2025-08-04,Standard Class,Consumer,South,Georgia,Furniture,Furnishings,7,0.2,294.84,3.34
ORD-100164,2025-01-03,2025-01-07,Second Class,Consumer,South,Florida,Technology,Accessories,9,0.2,449.12,38.6
ORD-100165,2024-09-26,2024-10-02,Second Class,Consumer,West,Washington,Office Supplies,Art,10,0.0,136.09,31.92
ORD-100166,2025-05-07,2025-05-09,First Class,Corporate,East,Massachusetts,Technology,Phones,10,0.0,3117.87,660.77
ORD-100167,2024-06-22,2024-06-27,Second Class,Consumer,South,Georgia,Technology,Phones,4,0.4,1164.45,-235.22
ORD-100168,2025-07-08,2025-07-15,Standard Class,Corporate,Central,Illinois,Office Supplies,Storage,3,0.15,136.39,8.75
ORD-100169,2024-09-27,2024-10-01,First Class,Home Office,West,Oregon,Furniture,Tables,1,0.2,243.95,-62.28
ORD-100170,2025-06-10,2025-06-18,Standard Class,Consumer,Central,Michigan,Office Supplies,Fasteners,3,0.0,10.77,2.16
ORD-100171,2024-11-07,2024-11-13,Standard Class,Corporate,Central,Illinois,Office Supplies,Labels,9,0.2,21.88,3.19
ORD-100172,2024-08-04,2024-08-10,Standard Class,Home Office,West,Washington,Technology,Copiers,3,0.0,1756.56,129.09
ORD-100173,2025-02-08,2025-02-12,Second Class,Consumer,South,Florida,Technology,Phones,7,0.3,2022.69,-280.29
ORD-100174,2024-02-20,2024-02-24,First Class,Consumer,Central,Ohio,Office Supplies,Storage,3,0.0,225.94,38.47
ORD-100175,2025-06-02,2025-06-10,Standard Class,Home Office,East,Virginia,Furniture,Bookcases,3,0.15,435.9,-57.21
ORD-100176,2025-02-27,2025-03-05,Second Class,Corporate,East,Pennsylvania,Office Supplies,Paper,2,0.15,13.85,2.21
ORD-100177,2024-04-21,2024-04-29,Standard Class,Consumer,West,Nevada,Furniture,Tables,8,0.0,1992.07,-75.81
ORD-100178,2025-09-08,2025-09-16,Standard Class,Consumer,Central,Minnesota,Office Supplies,Storage,6,0.15,430.37,20.39
ORD-100179,2024-11-21,2024-11-28,Standard Class,Home Office,East,Massachusetts,Office Supplies,Storage,2,0.0,64.4,9.64
ORD-100180,2025-02-01,2025-02-07,Standard Class,Corporate,East,Pennsylvania,Furniture,Furnishings,10,0.0,445.53,88.08
ORD-100181,2025-08-22,2025-08-28,Standard Class,Corporate,Central,Illinois,Office Supplies,Storage,8,0.2,211.68,-23.06
ORD-100182,2025-11-26,2025-12-03,Standard Class,Consumer,West,Washington,Office Supplies,Paper,7,0.3,68.36,6.76
ORD-100183,2025-11-10,2025-11-13,First Class,Consumer,East,Massachusetts,Office Supplies,Labels,8,0.0,34.59,10.95
ORD-100184,2025-05-23,2025-05-30,Standard Class,Corporate,East,New York,Office Supplies,Art,4,0.0,58.55,11.13
ORD-100185,2023-05-27,2023-06-02,Standard Class,Corporate,East,New York,Office Supplies,Paper,2,0.15,15.9,3.37
ORD-100186,2024-02-02,2024-02-06,Second Class,Consumer,West,Arizona,Technology,Accessories,5,0.1,393.76,75.19
ORD-100187,2025-01-18,2025-01-26,Standard Class,Consumer,South,Florida,Technology,Phones,3,0.15,775.57,-33.17
ORD-100188,2024-08-28,2024-09-05,Standard Class,Consumer,South,Alabama,Office Supplies,Storage,1,0.0,48.72,7.51
ORD-100189,2025-06-27,2025-07-01,Second Class,Corporate,East,New Jersey,Office Supplies,Art,2,0.1,16.66,1.23
ORD-100190,2024-02-29,2024-03-03,First Class,Consumer,West,Arizona,Office Supplies,Paper,10,0.0,103.57,32.6
ORD-100191,2025-10-18,2025-10-20,First Class,Consumer,South,North Carolina,Office Supplies,Fasteners,10,0.1,55.19,0.73
ORD-100192,2024-01-31,2024-02-06,Second Class,Consumer,Central,Minnesota,Office Supplies,Art,1,0.15,5.95,0.95
ORD-100193,2024-09-05,2024-09-12,Standard Class,Home Office,East,New Jersey,Office Supplies,Paper,3,0.1,20.54,5.79
ORD-100194,2024-05-11,2024-05-16,Second Class,Consumer,West,Arizona,Technology,Copiers,10,0.0,6237.19,79.74
ORD-100195,2023-09-27,2023-10-05,Standard Class,Corporate,West,Oregon,Office Supplies,Binders,8,0.0,80.05,20.32
ORD-100196,2025-03-25,2025-04-01,Standard Class,Consumer,East,Pennsylvania,Technology,Copiers,9,0.1,7324.9,4.06
ORD-100197,2024-11-01,2024-11-07,Standard Class,Consumer,Central,Texas,Furniture,Chairs,3,0.0,469.97,31.2
ORD-100198,2024-11-13,2024-11-15,First Class,Consumer,Central,Michigan,Office Supplies,Binders,4,0.1,56.12,10.01
ORD-100199,2025-06-12,2025-06-14,First Class,Consumer,East,Massachusetts,Furniture,Tables,1,0.15,263.51,-36.71
ORD-100200,2023-07-27,2023-08-04,Standard Class,Home Office,Central,Ohio,Technology,Accessories,6,0.0,233.57,66.55
ORD-100201,2024-11-30,2024-12-06,Standard Class,Home Office,West,California,Office Supplies,Storage,2,0.0,153.73,24.04
ORD-100202,2024-12-16,2024-12-24,Standard Class,Consumer,East,New York,Technology,Phones,6,0.3,1104.31,-118.6
ORD-100203,2024-03-11,2024-03-17,Standard Class,Corporate,South,Alabama,Technology,Machines,1,0.0,532.89,16.78
ORD-100204,2024-08-19,2024-08-24,Second Class,Consumer,West,Oregon,Office Supplies,Labels,5,0.0,22.54,7.36
ORD-100205,2024-12-10,2024-12-18,Standard Class,Consumer,West,California,Furniture,Furnishings,8,0.0,412.48,66.11
ORD-100206,2024-08-12,2024-08-18,Standard Class,Corporate,East,New York,Technology,Accessories,6,0.1,334.11,63.01
ORD-100207,2023-11-28,2023-12-06,Standard Class,Consumer,West,California,Furniture,Furnishings,1,0.0,30.53,5.45
ORD-100208,2023-06-10,2023-06-16,Standard Class,Consumer,East,Virginia,Furniture,Tables,8,0.5,2192.68,-1038.92
ORD-100209,2025-07-16,2025-07-18,First Class,Corporate,East,Virginia,Office Supplies,Paper,5,0.2,50.6,8.85
ORD-100210,2023-11-05,2023-11-13,Standard Class,Home Office,South,North Carolina,Office Supplies,Binders,8,0.2,182.77,10.62
ORD-100211,2024-11-06,2024-11-14,Standard Class,Consumer,West,Nevada,Furniture,Tables,5,0.3,1261.53,-354.99
ORD-100212,2024-05-27,2024-06-02,Standard Class,Consumer,East,Massachusetts,Office Supplies,Paper,2,0.0,15.64,5.27
ORD-100213,2025-10-15,2025-10-17,First Class,Home Office,Central,Minnesota,Office Supplies,Paper,2,0.1,21.15,5.13
ORD-100214,2025-01-28,2025-02-01,Second Class,Home Office,East,Pennsylvania,Furniture,Tables,1,0.1,323.22,-40.27
ORD-100215,2025-09-15,2025-09-17,First Class,Corporate,East,Pennsylvania,Furniture,Tables,2,0.0,430.72,3.06
ORD-100216,2024-11-12,2024-11-20,Standard Class,Consumer,East,New Jersey,Technology,Phones,10,0.0,5450.12,390.4
ORD-100217,2024-10-13,2024-10-20,Standard Class,Consumer,South,Georgia,Office Supplies,Paper,9,0.0,90.74,30.88
